lat,long,cases_cumulative
-87.896371,41.979511,0
-87.817934,41.974566,2830
-87.813371,41.995019,2899
-87.808283,41.921777,2119
-87.797373,41.944967,9631
-87.771902,41.787032,7321
-87.761826,41.993931,2515
-87.759611,41.971261,5203
-87.756863,41.881113,3910
-87.75531,41.920609,13656
-87.746791,41.946682,8374
-87.741017,41.901964,7198
-87.722735,41.879417,2999
-87.717446,41.850321,10355
-87.714238,41.745398,4931
-87.711565,41.777061,16353
-87.711251,41.810038,12707
-87.703343,41.946699,7758
-87.703266,41.990803,3765
-87.701816,41.971155,6478
-87.701434,41.696456,3241
-87.701101,41.921058,8171
-87.695049,42.008927,4421
-87.687011,41.88004,3142
-87.681818,41.902762,4744
-87.670366,41.849879,7584
-87.669834,42.009469,4024
-87.668597,41.77599,2905
-87.666362,41.991062,2580
-87.662381,41.700445,3965
-87.662232,41.971888,4276
-87.661343,41.953742,3486
-87.658216,41.939715,4898
-87.657821,41.899935,1853
-87.653382,41.812017,6774
-87.652727,41.876104,2425
-87.652064,41.922605,5297
-87.651656,41.740873,4780
-87.644283,41.882786,753
-87.638812,41.776931,2059
-87.63676,41.882634,293
-87.636354,41.892485,1886
-87.63581,41.90455,3163
-87.633087,41.650765,294
-87.629531,41.844869,3421
-87.629029,41.878153,98
-87.628309,41.883136,100
-87.625473,41.880112,72
-87.623449,41.867824,1777
-87.622844,41.886262,999
-87.621537,41.694192,4610
-87.620291,41.894734,2092
-87.611244,41.819261,2347
-87.60569,41.744737,4013
-87.604053,41.780991,2952
-87.602725,41.801993,2058
-87.571522,41.762202,2994
-87.556897,41.721257,7253
-87.556037,41.653147,1262
