GEOG,MEDINC,EMP,FOODSERV_RANK,FOODSERV_JOB_COUNT,PCT_FOODSERV
ARMOUR SQUARE,27463.83031,5766.881268,1,1115,0.04059885265144576
AVONDALE,60000.0,20782.0,1,1780,0.029666666666666668
BRIDGEPORT,50579.58519,17163.118730000002,1,1989,0.03932416591651372
LOWER WEST SIDE,45204.43925,17760.00001,1,1556,0.03442139811523046
MCKINLEY PARK,46112.068960000004,7507.999997,1,843,0.01828154795507575
NEW CITY,33227.28322,15178.646780000001,1,1482,0.04460190109999611
ALBANY PARK,59883.04094,26352.99998,2,2117,0.03535224609119525
ARCHER HEIGHTS,44108.84007,5809.924449,2,560,0.012695867746947987
BRIGHTON PARK,41176.47059,19019.0,2,1781,0.04325285714100345
IRVING PARK,64598.48843,30041.0,2,2238,0.0346447734984563
ROGERS PARK,40590.6822,29945.0,2,2735,0.06737999589472285
WEST ELSDON,55379.52371,8288.075541,2,763,0.013777655510284271
WEST LAWN,51081.67771,13714.99998,2,1289,0.02523409679920632
EAST SIDE,45700.93911,9214.427869,3,784,0.01715500852428763
EDGEWATER,53182.64015,33235.00001,3,2941,0.05529999999445308
GREATER GRAND CROSSING,26955.5874,11004.0,3,937,0.03476088226517371
HERMOSA,43009.118539999996,11562.0,3,941,0.021879081272610523
HUMBOLDT PARK,38592.71523,23561.00001,3,2190,0.05674646074908992
LOGAN SQUARE,75333.4654,46041.27407,3,3722,0.049406993030749385
NORTH PARK,54827.957010000006,8405.999999,3,645,0.011764071382093613
O'HARE,50990.30515,6862.121276999999,3,484,0.00949200046118963
PORTAGE PARK,66309.30835,34069.15608,3,2461,0.03711394465178432
SOUTH LAWNDALE,33611.69102,25413.99999,3,2036,0.0605741614960258
SOUTH SHORE,29889.62472,19716.9049,3,1673,0.05597259971218534
UPTOWN,51888.77755,35114.99996,3,2937,0.05660183451363656
WEST RIDGE,52038.56748,35352.00002,3,2805,0.053902329288331136
WEST TOWN,96499.0138,58312.72594,3,4333,0.044902013288761713
AUSTIN,33419.90397,36165.00001,4,3146,0.0941355188460166
BELMONT CRAGIN,50767.45194,38393.31327,4,2989,0.05887630530546576
BURNSIDE,25460.526319999997,882.0000018,4,80,0.003142118862529469
DOUGLAS,31509.17432,8350.999998000001,4,610,0.01935944096170147
EAST GARFIELD PARK,22817.61749,5693.043815999999,4,727,0.031861345748240955
ENGLEWOOD,21274.57002,6625.999999000001,4,854,0.040141821865126465
FULLER PARK,22920.25862,619.3532548999999,4,88,0.003839398213561693
GAGE PARK,41182.008369999996,16139.99998,4,1338,0.03248991617841294
GRAND BOULEVARD,32348.13085,9267.999999,4,810,0.025040086667016806
HYDE PARK,54139.78495,14543.0,4,796,0.014702681230358304
LINCOLN SQUARE,73620.64117,25991.00001,4,2008,0.02727495941475512
MONTCLARE,45316.63462,6394.686695,4,502,0.011077609893353551
MOUNT GREENWOOD,98422.44699999999,9561.000048,4,669,0.006797229904271737
NORTH LAWNDALE,26781.206169999998,10928.0,4,1191,0.044471484683693774
OAKLAND,28611.11111,2768.9999980000002,4,235,0.008213592233328683
RIVERDALE,13517.69912,1899.000004,4,195,0.014425531909605042
SOUTH CHICAGO,32844.96754,10624.00001,4,820,0.024965772884426484
WASHINGTON PARK,27457.627119999997,3892.0,4,359,0.013074691357379029
WEST ENGLEWOOD,27759.789160000004,8143.999998,4,982,0.03537490844545016
WEST GARFIELD PARK,24590.552630000002,4849.956190999999,4,618,0.0251316027459282
WOODLAWN,26415.171290000002,7908.095096999999,4,775,0.02933920024563278
AUBURN GRESHAM,34661.2265,16299.00001,5,1335,0.038515659565595585
AVALON PARK,43372.9383,3546.562082,5,270,0.006225079752090487
CHATHAM,31828.18516,12180.437909999999,5,903,0.028371080394958968
CHICAGO LAWN,33486.17512,19505.0,5,1772,0.05291736048234583
DUNNING,70243.09912,22684.99998,5,1527,0.021738790274491524
JEFFERSON PARK,76054.30826,14708.00002,5,951,0.012504222597737686
KENWOOD,49161.3924,8443.999998000001,5,561,0.011411393628468505
LAKE VIEW,89276.45228,73297.00002,5,4608,0.051614954249613466
LINCOLN PARK,108874.6823,45281.00002,5,2286,0.02099661695178145
MORGAN PARK,61032.15909,8974.604347,5,677,0.011092512703043553
NEAR NORTH SIDE,99731.56764,60664.00002000001,5,3259,0.03267771756846316
NORTH CENTER,115756.1728,21468.99998,5,1412,0.012198053597017334
PULLMAN,42489.58334,3214.999988,5,243,0.005719048785569946
SOUTH DEERING,35436.68121,5058.9999960000005,5,470,0.0132630930423408
WASHINGTON HEIGHTS,50047.554339999995,10750.0,5,736,0.01470601330486512
WEST PULLMAN,41079.19301,10056.2197,5,789,0.019206803790131222
